0.036,0.031,0.029
0.146,0.112,0.108
0.389,0.249,0.326
0.375,0.282,0.252
3.683,2.385,0.005
null,null,null
0.157,0.130,0.137
0.155,0.121,0.112
9.891,5.690,4.839
0.004,0.004,0.005
1.059,0.892,0.959
1.253,1.083,1.000
null,null,null
10.750,13.099,12.072
6.468,6.573,6.571
0.005,0.004,0.006
null,null,null
null,null,null
null,null,null
0.368,0.311,0.260
4.897,4.869,4.951
10.884,11.368,11.208
19.885,19.388,19.219
20.774,19.280,19.706
2.415,2.951,2.412
1.200,1.179,1.150
2.423,2.683,2.362
9.162,9.336,9.460
0.004,0.006,0.004
0.311,0.229,0.246
4.146,4.951,4.579
11.540,8.511,9.892
0.004,0.005,0.004
0.005,0.006,0.006
0.004,0.005,0.021
1.685,1.870,1.699
0.325,0.272,0.249
0.208,0.156,0.164
0.129,0.103,0.096
0.392,0.360,0.359
0.108,0.072,0.068
0.089,0.066,0.064
0.073,0.054,0.058
